record - leader,001,008,035,040,245,260,310,336,337,338,653,264,996,998,650,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505
00599nas  2200205u  4500,9918994140101480,980112q19831987be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899414LBS01-Aleph^$ $ $a7298061^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918994140101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSchakeltje.,^$ $ $aS.l.$ $ $bKLJ. Gewest Veurne$ $ $c[1983-[1987],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aKLJ. Verbond Veurne$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00582nas  2200193u  4500,9918994330101480,980112q19851990be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899433LBS01-Aleph^$ $ $a7298136^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918994330101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$a't ACV-tje.,^$ $ $aRoeselare$ $ $bACV. Gewest Roeselare$ $ $c[1985]-[1990],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aACV. Gewest Roeselare$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00750nas  2200205u  4500,9918995440101480,980112q19851990be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899544LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918995440101471$ $ $bLanguage of cataloging varies$ $ $erda based,,"^$0$0$aKomaan, blijf niet staan! Pak de toekomst aan...",^$ $ $aIeper$ $ $bVKAJ. Verbond Ieper$ $ $c1984-1985,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,^$1$8$w(BeLVLBS)001899538LBS01-Aleph$ $ $tVrije tijd een open deur naar anderen$ $ $4780,,,,^$ $ $aVoortzetting van: Vrije tijd een open deur naar anderen^$ $ $aVoortgezet als: Een regenboog van solidariteit,,,,,,,,,,,,,,,,,,,
00802nas  2200217u  4500,9918995470101480,980112q19851990be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001899547LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918995470101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$4$aEen regenboog van solidariteit.,^$ $ $aIeper$ $ $bVKAJ. Verbond Ieper$ $ $c1985-[1986],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,,,,"^$1$8$w(BeLVLBS)001899544LBS01-Aleph$ $ $tKomaan, blijf niet staan! Pak de toekomst aan...$ $ $4780",,,,"^$ $ $aVoortzetting van: Komaan, blijf niet staan! Pak de toekomst aan...",,,,,,,,,,,,,,,,,,,
00571nas  2200193u  4500,9919025550101480,980120d19811986be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001902555LBS01-Aleph^$ $ $a7313339^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919025550101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTrairi-nieuws.,^$ $ $aS.l.$ $ $bTrairi-nieuws$ $ $c1981-1986,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,,,^$ $ $aHet tijdschrift is afgesloten,,,,,,,,,,,,,,,,,,,,,,,,
00519nas  2200169u  4500,9919048270101480,980120d19811986be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001904827LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919048270101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aKajot(s)tersnieuws uit het Ieperse.,^$ $ $aS.l.$ $ $bKAJ-VKAJ. Verbond Ieper$ $ $c[1981]-[1987],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00644nas  2200193u  4500,9919065300101480,980120d19811986be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001906530LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919065300101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aOrtekje.,^$ $ $aKortrijk$ $ $bVKAJ. Verbond Kortrijk$ $ $c1972-[1995],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,,,,,,,,,,,,,,,,,,,,,,,,,,,
00564nas  2200181u  4500,9919065490101480,980130q19811982be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001906549LBS01-Aleph^$ $ $a7329821^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919065490101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aGouw Noordzee prezenteert aan...,^$ $ $aS.l.$ $ $bGouw Noordzee prezenteert aan...$ $ $c1981-[1982],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00509nas  2200169u  4500,9919077880101480,980130q19811982be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001907788LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919077880101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aEchos du tiers-monde.,^$ $ $aRemouchamps$ $ $bGroupe tiers-monde$ $ $c[1985]-[1987],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00553nas  2200181u  4500,9919088500101480,980206q19841987nq br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001908850LBS01-Aleph^$ $ $a7340003^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919088500101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aNieuwsbrief uit Nicaragua.,^$ $ $aS.l.$ $ $bNieuwsbrief uit Nicaragua$ $ $c[1984]-[1987],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00610nas  2200181u  4500,9919088670101480,980206q19821983be br|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001908867LBS01-Aleph^$ $ $a7340051^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919088670101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aDossiers sur l'actualité du Guatémala.,^$ $ $aS.l.$ $ $bDossiers sur l'actualité du Guatémala$ $ $c[1982]-[1983],^$ $ $aBimonthly$ $ $bBimonthly = om de 2.5 maand,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00623nas  2200193u  4500,9919100360101480,980210q19831997fr ur|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001910036LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919100360101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aEnfants de partout.,^$ $ $aParis$ $ $bBureau international catholique de l'enfance$ $ $c[1983]-[1997],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aBICE$ $ $gBureau international catholique de l'enfance$ $ $4oth,,,,^$ $ $a0252-2799,,,,,,,,,,,,,,,,,,,,,,
00609nas  2200193u  4500,9919142040101480,980223q19811982be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001914204LBS01-Aleph^$ $ $a7363887^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919142040101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aWaakvlam.,^$ $ $aS.l.$ $ $bCVP-jongeren. Arrondissement Oudenaarde$ $ $c1981-[1982],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,^$2$ $aCVP-jongeren. Arrondissement Oudenaarde$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00596nas  2200193u  4500,9919153910101480,980225d19811984be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001915391LBS01-Aleph^$ $ $a7369054^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919153910101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$4$aHet thuisfront : infoblad.,^$ $ $aS.l.$ $ $bHet thuisfront$ $ $c1981-1984,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,,,,,,,,^$ $ $aVoortgezet als: Het Marjet Haels thuisfront,,,,,,,,,,,,,,,,,,,
00680nas  2200205u  4500,9919154210101480,980225q19851996be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001915421LBS01-Aleph^$ $ $a7369157^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919154210101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$4$aHet Marjet Haels thuisfront.,^$ $ $aS.l.$ $ $bHet Marjet Haels thuisfront$ $ $c1985-[1996],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,,,,^$1$8$w(BeLVLBS)001915391LBS01-Aleph$ $ $tHet thuisfront : infoblad$ $ $4780,,,,^$ $ $aVoortzetting van: Het thuisfront,,,,,,,,,,,,,,,,,,,
00698nas  2200193u  4500,9919195860101480,980310d19811985be mr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001919586LBS01-Aleph^$ $ $a7386817^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919195860101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSolidarité Guatémala : bulletin d'information des Comités de solidarité pour le Guatémala.,^$ $ $aLesve$ $ $bComités de solidarité pour le Guatémala$ $ $c1981-1985,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,^$2$ $aComités de solidarité pour le Guatémala$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00839nas  2200217u  4500,9919245060101480,980324q19851987be br|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001924506LBS01-Aleph^$ $ $a7410602^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919245060101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aBulletin de solidarité Guatémala.,^$ $ $aLiège$ $ $bCoordination des comités Guatémala$ $ $c1985-[1987],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201511$ $ $9local,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,^$2$ $aCoordination des comites Guatémala$ $ $4oth,,,^$1$8$w(BeLVLBS)001919586LBS01-Aleph$ $ $tSolidarité Guatémala : bulletin d'information des Comités de solidarité pour le Guatémala$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,
00633nas  2200193u  4500,9919247090101480,980324q19831985be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001924709LBS01-Aleph^$ $ $a7411669^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919247090101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$a't Sociaal aktiefje$ $ $bstudentenblad Sociale hogeschool Heverlee.,^$ $ $aHeverlee$ $ $bSociale Hogeschool$ $ $c1983-[1985],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,^$2$ $aSociale hogeschool Heverlee.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00586nas  2200193u  4500,9919289800101480,980407q19851989be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001928980LBS01-Aleph^$ $ $a7431566^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919289800101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCVP ledenblad : tijdschrift van de CVP Lier.,^$ $ $aLier$ $ $bCVP. Lier$ $ $c[1985]-[1989],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,^$2$ $aCVP. Lier$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00575nas  2200181u  4500,9919324940101480,980422q19821987be zr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001932494LBS01-Aleph^$ $ $a7449572^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919324940101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aWeetjes-en-citaten te nemen of te laten.,^$ $ $aS.l.$ $ $bWeetjes-en-citaten te nemen of te laten$ $ $c1982-[1987],^$ $ $aOther,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00805nas  2200253u  4500,9919363440101480,980505q19832013be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001936344LBS01-Aleph^$ $ $a7465419^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919363440101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSprokkels.,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1983-[2013]^$ $1$aAarschot$ $ $bSint-Jozefscollege$ $ $31983-[2013],^$ $ $aKADOC$ $ $bphysical$ $ $c202012,,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803",^$2$ $aSint-Jozefscollege Aarschot$ $ $4oth,,,,,^$1$0$aCollegesprokkels.$ $ $g1(1983)-27(2009),,,,,,,,,,,,,,,,,,,,,
00676nas  2200205u  4500,9919363590101480,980505q19832013be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001936359LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919363590101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aSint-Victor nu en toen$ $ $bledenblad oudleerlingenbond Sint-Victor Alsemberg,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1982-2003^$ $1$aAlsemberg$ $ $bSint-Victor$ $ $31982-2003,^$ $ $aKADOC$ $ $bphysical$ $ $c202104$ $ $9local,,"^$ $7$2KADOC$ $ $aC6$ $ $xopvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)",,,^$ $ $aTitel varieert,,,,,,,,,,,,,,,,,,,,,,,,
00546nas  2200181u  4500,9919383320101480,980505q19832013be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001938332LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919383320101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$4$aLes cahiers de la FEC.,^$ $ $aBruxelles$ $ $bFormation Education Culture$ $ $c[1984]-[1989],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aCSC. FEC.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00989nas  2200265u  4500,9919383680101480,980512q19841995be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001938368LBS01-Aleph^$ $ $a7473869^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919383680101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aNieuws uit St.-Thomas.,^$ $ $aBrussel$ $ $bSint-Thomasinstituut$ $ $c[1984]-[1992],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,"^$ $7$2KADOC$ $ $aCongregatie van de Broeders van de Christelijke Scholen (1680-1725 ; 1725-heden)$ $ $6(ODIS-ORG)10421^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)",^$2$ $aSint-Thomasinstituut Brussel$ $ $4oth,,,^$1$8$w(BeLVLBS)001937723LBS01-Aleph$ $ $tDe stem uit Nieuwland$ $ $4780,,,,^$ $ $aVoortzetting van: De stem uit Nieuwland^$ $ $aVoortgezet als: Nieuwland,,,,,,,,,,,,,,,,,,,
00677nas  2200217u  4500,9919390580101480,980514q19831996be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001939058LBS01-Aleph^$ $ $a7477116^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919390580101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSJB kontakt.,^$ $ $aBeringen$ $ $bSint-Jozefscollege $ $ $c[1983]-[1996],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,^$2$ $aSint-Jozefscollege Beringen$ $ $4oth,^$1$1$aKontakt Sint-Jozefscollege Beringen,^$ $ $aPeriodiciteit varieert,,,,,,,,,,,,,,,,,,,,,,,,
00719nas  2200217u  4500,9919431440101480,980528q19812006be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001943144LBS01-Aleph^$ $ $a7494638^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919431440101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aGlobeke.,^$ $ $aHeverlee$ $ $bHeilig-Hartinstituut Heverlee. VSO-3e graad$ $ $c1981-[2006],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)",^$2$ $aHeilig-Hartinstituut Heverlee. VSO-3e graad$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00604nas  2200181u  4500,9919432100101480,980528d19829999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001943210LBS01-Aleph^$ $ $a7494877^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919432100101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aNieuws rond de fontein : tijdschrift van de v.z.w. Zusters van Liefde van Jezus en Maria.,^$ $ $aS.l.$ $ $bNieuws rond de fontein$ $ $c1982-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00568nas  2200181u  4500,9919460830101480,980609d19849999be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001946083LBS01-Aleph^$ $ $a7507193^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919460830101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aAmis du Christ$ $ $bjournal de la Fraternité de l'eucharistie.,^$ $ $aS.l.$ $ $bAmis du Christ$ $ $c[1984]-?,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00733nas  2200229u  4500,9919460870101480,980609q19851989be mr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001946087LBS01-Aleph^$ $ $a7507211^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919460870101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aConscience universelle.,,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $1$c[1985]-[1989]^$ $1$aLiège$ $ $bConscience universelle$ $ $3[1985]-[1989].,^$ $ $aKADOC$ $ $bphysical$ $ $c201901$ $ $dA$ $ $dCollectie EVADOC$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alevensbeschouwing$ $ $6(ODIS-TW)2799,^$2$ $aConscience universelle$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00637nas  2200205u  4500,9919461020101480,980609q19851991be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001946102LBS01-Aleph^$ $ $a7507261^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919461020101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aIn 't kort : van Georges De Corte.,^$ $ $aAntwerpen$ $ $bIn 't kort$ $ $c1985-[1991],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
00551nas  2200193u  4500,9919463750101480,980610d19859999be qr|p||     0|||a|eng c,^$ $ $a(BeLVLBS)001946375LBS01-Aleph^$ $ $a7508478^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919463750101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aInfo-brochure.,^$ $ $aS.l.$ $ $bReach hand$ $ $c1985-?,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,^$2$ $aReach hand$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00625nas  2200193u  4500,9919468900101480,980611q19821988be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001946890LBS01-Aleph^$ $ $a7510270^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9919468900101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSlik : Sint-Lodewijkse informatiekrant.,^$ $ $aGenk$ $ $bTechnisch instituut Sint-Lodewijk$ $ $c1982-[1988],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.at,,^$2$ $aTechnisch instituut Sint-Lodewijk$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
